subject,format,run,trial_nr,p1,p2,n1,n2,choice
56,symbolic,5,237,1.0,0.55,7,20,False
56,symbolic,5,238,1.0,0.55,28,79,True
56,symbolic,5,239,1.0,0.55,28,47,False
56,symbolic,5,240,1.0,0.55,28,112,True
57,symbolic,1,1,1.0,0.55,14,47,True
57,symbolic,1,2,1.0,0.55,28,40,True
57,symbolic,1,3,1.0,0.55,28,56,True
57,symbolic,1,4,1.0,0.55,7,17,True
57,symbolic,1,5,1.0,0.55,5,10,False
57,symbolic,1,6,1.0,0.55,20,34,False
57,symbolic,1,7,1.0,0.55,10,24,True
57,symbolic,1,8,1.0,0.55,5,14,False
57,symbolic,1,9,1.0,0.55,7,24,True
57,symbolic,1,10,1.0,0.55,7,28,True
57,symbolic,1,11,1.0,0.55,10,14,False
57,symbolic,1,12,1.0,0.55,5,6,False
57,symbolic,1,13,1.0,0.55,14,56,True
57,symbolic,1,14,1.0,0.55,28,67,True
57,symbolic,1,15,1.0,0.55,14,17,False
57,symbolic,1,16,1.0,0.55,7,20,False
57,symbolic,1,17,1.0,0.55,20,48,True
57,symbolic,1,18,1.0,0.55,5,7,False
57,symbolic,1,19,1.0,0.55,10,34,True
57,symbolic,1,20,1.0,0.55,10,34,True
57,symbolic,1,21,1.0,0.55,14,33,True
57,symbolic,1,22,1.0,0.55,20,34,False
57,symbolic,1,23,1.0,0.55,28,30,False
57,symbolic,1,24,1.0,0.55,20,40,False
57,symbolic,1,25,1.0,0.55,14,47,True
57,symbolic,1,26,1.0,0.55,28,40,False
57,symbolic,1,27,1.0,0.55,28,56,True
57,symbolic,1,28,1.0,0.55,7,17,False
57,symbolic,1,29,1.0,0.55,5,10,False
57,symbolic,1,30,1.0,0.55,20,34,False
57,symbolic,1,31,1.0,0.55,10,24,False
57,symbolic,1,32,1.0,0.55,5,14,False
57,symbolic,1,33,1.0,0.55,7,24,True
57,symbolic,1,34,1.0,0.55,7,28,True
57,symbolic,1,35,1.0,0.55,10,14,False
57,symbolic,1,36,1.0,0.55,5,6,False
57,symbolic,1,37,1.0,0.55,14,56,True
57,symbolic,1,38,1.0,0.55,28,67,False
57,symbolic,1,39,1.0,0.55,14,17,False
57,symbolic,1,40,1.0,0.55,7,20,True
57,symbolic,1,41,1.0,0.55,20,48,True
57,symbolic,1,42,1.0,0.55,5,7,False
57,symbolic,1,43,1.0,0.55,10,34,True
57,symbolic,1,44,1.0,0.55,10,34,True
57,symbolic,1,45,1.0,0.55,14,33,True
57,symbolic,1,46,1.0,0.55,20,34,False
57,symbolic,1,47,1.0,0.55,28,30,False
57,symbolic,1,48,1.0,0.55,20,40,False
57,symbolic,2,49,1.0,0.55,10,12,False
57,symbolic,2,50,1.0,0.55,7,28,True
57,symbolic,2,51,1.0,0.55,7,24,True
57,symbolic,2,52,1.0,0.55,5,17,False
57,symbolic,2,53,1.0,0.55,28,29,False
57,symbolic,2,54,1.0,0.55,5,20,True
57,symbolic,2,55,1.0,0.55,5,20,False
57,symbolic,2,56,1.0,0.55,20,48,True
57,symbolic,2,57,1.0,0.55,7,17,False
57,symbolic,2,58,1.0,0.55,10,20,False
57,symbolic,2,59,1.0,0.55,28,67,True
57,symbolic,2,60,1.0,0.55,14,33,True
57,symbolic,2,61,1.0,0.55,20,28,False
57,symbolic,2,62,1.0,0.55,5,7,False
57,symbolic,2,63,1.0,0.55,10,12,False
57,symbolic,2,64,1.0,0.55,28,67,True
57,symbolic,2,65,1.0,0.55,20,22,False
57,symbolic,2,66,1.0,0.55,20,80,True
57,symbolic,2,67,1.0,0.55,10,20,False
57,symbolic,2,68,1.0,0.55,14,17,False
57,symbolic,2,69,1.0,0.55,14,24,False
57,symbolic,2,70,1.0,0.55,28,67,True
57,symbolic,2,71,1.0,0.55,14,33,True
57,symbolic,2,72,1.0,0.55,7,14,False
57,symbolic,2,73,1.0,0.55,10,12,False
57,symbolic,2,74,1.0,0.55,7,28,True
57,symbolic,2,75,1.0,0.55,7,24,True
57,symbolic,2,76,1.0,0.55,5,17,True
57,symbolic,2,77,1.0,0.55,28,29,False
57,symbolic,2,78,1.0,0.55,5,20,False
57,symbolic,2,79,1.0,0.55,5,20,True
57,symbolic,2,80,1.0,0.55,20,48,True
57,symbolic,2,81,1.0,0.55,7,17,True
57,symbolic,2,82,1.0,0.55,10,20,False
57,symbolic,2,83,1.0,0.55,28,67,True
57,symbolic,2,84,1.0,0.55,14,33,True
57,symbolic,2,85,1.0,0.55,20,28,False
57,symbolic,2,86,1.0,0.55,5,7,False
57,symbolic,2,87,1.0,0.55,10,12,False
57,symbolic,2,88,1.0,0.55,28,67,True
57,symbolic,2,89,1.0,0.55,20,22,False
57,symbolic,2,90,1.0,0.55,20,80,True
57,symbolic,2,91,1.0,0.55,10,20,False
57,symbolic,2,92,1.0,0.55,14,17,False
57,symbolic,2,93,1.0,0.55,14,24,True
57,symbolic,2,94,1.0,0.55,28,67,True
57,symbolic,2,95,1.0,0.55,14,33,False
57,symbolic,2,96,1.0,0.55,7,14,False
57,symbolic,3,97,1.0,0.55,20,40,True
57,symbolic,3,98,1.0,0.55,14,33,False
57,symbolic,3,99,1.0,0.55,7,20,True
57,symbolic,3,100,1.0,0.55,20,34,False
57,symbolic,3,101,1.0,0.55,28,94,True
57,symbolic,3,102,1.0,0.55,5,20,True
57,symbolic,3,103,1.0,0.55,7,14,False
57,symbolic,3,104,1.0,0.55,5,10,False
57,symbolic,3,105,1.0,0.55,10,28,True
57,symbolic,3,106,1.0,0.55,14,47,True
57,symbolic,3,107,1.0,0.55,5,12,False
57,symbolic,3,108,1.0,0.55,7,14,False
57,symbolic,3,109,1.0,0.55,28,30,False
57,symbolic,3,110,1.0,0.55,10,20,False
57,symbolic,3,111,1.0,0.55,7,8,False
57,symbolic,3,112,1.0,0.55,14,33,True
57,symbolic,3,113,1.0,0.55,28,40,False
57,symbolic,3,114,1.0,0.55,10,40,True
57,symbolic,3,115,1.0,0.55,14,56,True
57,symbolic,3,116,1.0,0.55,20,28,False
57,symbolic,3,117,1.0,0.55,28,79,True
57,symbolic,3,118,1.0,0.55,20,28,True
57,symbolic,3,119,1.0,0.55,5,6,False
57,symbolic,3,120,1.0,0.55,10,34,True
57,symbolic,3,121,1.0,0.55,20,40,True
57,symbolic,3,122,1.0,0.55,14,33,True
57,symbolic,3,123,1.0,0.55,7,20,True
57,symbolic,3,124,1.0,0.55,20,34,False
57,symbolic,3,125,1.0,0.55,28,94,True
57,symbolic,3,126,1.0,0.55,5,20,True
57,symbolic,3,127,1.0,0.55,7,14,False
57,symbolic,3,128,1.0,0.55,5,10,False
57,symbolic,3,129,1.0,0.55,10,28,True
57,symbolic,3,130,1.0,0.55,14,47,True
57,symbolic,3,131,1.0,0.55,5,12,False
57,symbolic,3,132,1.0,0.55,7,14,False
57,symbolic,3,133,1.0,0.55,28,30,False
57,symbolic,3,134,1.0,0.55,10,20,False
57,symbolic,3,135,1.0,0.55,7,8,False
57,symbolic,3,136,1.0,0.55,14,33,True
57,symbolic,3,137,1.0,0.55,28,40,False
57,symbolic,3,138,1.0,0.55,10,40,True
57,symbolic,3,139,1.0,0.55,14,56,True
57,symbolic,3,140,1.0,0.55,20,28,True
57,symbolic,3,141,1.0,0.55,28,79,True
57,symbolic,3,142,1.0,0.55,20,28,False
57,symbolic,3,143,1.0,0.55,5,6,False
57,symbolic,3,144,1.0,0.55,10,34,True
57,symbolic,4,145,1.0,0.55,14,33,True
57,symbolic,4,146,1.0,0.55,14,47,True
57,symbolic,4,147,1.0,0.55,14,56,True
57,symbolic,4,148,1.0,0.55,10,12,False
57,symbolic,4,149,1.0,0.55,28,67,True
57,symbolic,4,150,1.0,0.55,28,40,False
57,symbolic,4,151,1.0,0.55,10,40,True
57,symbolic,4,152,1.0,0.55,28,112,True
57,symbolic,4,153,1.0,0.55,20,80,True
57,symbolic,4,154,1.0,0.55,10,14,False
57,symbolic,4,155,1.0,0.55,7,24,True
57,symbolic,4,156,1.0,0.55,7,28,True
57,symbolic,4,157,1.0,0.55,20,28,False
57,symbolic,4,158,1.0,0.55,10,20,False
57,symbolic,4,159,1.0,0.55,5,14,False
57,symbolic,4,160,1.0,0.55,5,7,False
57,symbolic,4,161,1.0,0.55,7,10,False
57,symbolic,4,162,1.0,0.55,28,40,False
57,symbolic,4,163,1.0,0.55,7,10,False
57,symbolic,4,164,1.0,0.55,14,33,True
57,symbolic,4,165,1.0,0.55,5,14,False
57,symbolic,4,166,1.0,0.55,20,40,True
57,symbolic,4,167,1.0,0.55,20,34,False
57,symbolic,4,168,1.0,0.55,5,10,False
57,symbolic,4,169,1.0,0.55,5,20,True
57,symbolic,4,170,1.0,0.55,20,80,True
57,symbolic,4,171,1.0,0.55,14,15,False
57,symbolic,4,172,1.0,0.55,10,40,True
57,symbolic,4,173,1.0,0.55,5,14,True
57,symbolic,4,174,1.0,0.55,20,34,False
57,symbolic,4,175,1.0,0.55,28,79,True
57,symbolic,4,176,1.0,0.55,7,17,False
57,symbolic,4,177,1.0,0.55,10,34,True
57,symbolic,4,178,1.0,0.55,14,33,True
57,symbolic,4,179,1.0,0.55,20,22,False
57,symbolic,4,180,1.0,0.55,14,20,False
57,symbolic,4,181,1.0,0.55,14,24,False
57,symbolic,4,182,1.0,0.55,28,94,True
57,symbolic,4,183,1.0,0.55,5,6,False
57,symbolic,4,184,1.0,0.55,10,28,True
57,symbolic,4,185,1.0,0.55,28,33,False
57,symbolic,4,186,1.0,0.55,7,20,False
57,symbolic,4,187,1.0,0.55,5,7,False
57,symbolic,4,188,1.0,0.55,20,40,True
57,symbolic,4,189,1.0,0.55,7,8,False
57,symbolic,4,190,1.0,0.55,28,67,True
57,symbolic,4,191,1.0,0.55,7,14,True
57,symbolic,4,192,1.0,0.55,10,12,False
57,symbolic,5,193,1.0,0.55,14,20,False
57,symbolic,5,194,1.0,0.55,28,56,True
57,symbolic,5,195,1.0,0.55,5,7,False
57,symbolic,5,196,1.0,0.55,7,14,True
57,symbolic,5,197,1.0,0.55,14,20,False
57,symbolic,5,198,1.0,0.55,7,12,False
57,symbolic,5,199,1.0,0.55,10,12,False
57,symbolic,5,200,1.0,0.55,28,47,False
57,symbolic,5,201,1.0,0.55,10,40,True
57,symbolic,5,202,1.0,0.55,20,21,False
57,symbolic,5,203,1.0,0.55,28,79,True
57,symbolic,5,204,1.0,0.55,20,40,True
57,symbolic,5,205,1.0,0.55,14,40,True
57,symbolic,5,206,1.0,0.55,14,24,False
57,symbolic,5,207,1.0,0.55,10,12,False
57,symbolic,5,208,1.0,0.55,28,112,True
57,symbolic,5,209,1.0,0.55,7,14,False
57,symbolic,5,210,1.0,0.55,7,8,False
57,symbolic,5,211,1.0,0.55,10,14,False
57,symbolic,5,212,1.0,0.55,5,10,False
57,symbolic,5,213,1.0,0.55,5,10,False
57,symbolic,5,214,1.0,0.55,20,40,True
57,symbolic,5,215,1.0,0.55,20,28,False
57,symbolic,5,216,1.0,0.55,5,20,True
57,symbolic,5,217,1.0,0.55,7,17,False
57,symbolic,5,218,1.0,0.55,20,40,True
57,symbolic,5,219,1.0,0.55,5,14,True
57,symbolic,5,220,1.0,0.55,20,67,True
57,symbolic,5,221,1.0,0.55,20,34,False
57,symbolic,5,222,1.0,0.55,28,40,True
57,symbolic,5,223,1.0,0.55,7,17,False
57,symbolic,5,224,1.0,0.55,10,12,False
57,symbolic,5,225,1.0,0.55,14,33,False
57,symbolic,5,226,1.0,0.55,7,17,True
57,symbolic,5,227,1.0,0.55,20,21,False
57,symbolic,5,228,1.0,0.55,10,17,False
57,symbolic,5,229,1.0,0.55,7,20,True
57,symbolic,5,230,1.0,0.55,28,79,True
57,symbolic,5,231,1.0,0.55,10,17,False
57,symbolic,5,232,1.0,0.55,5,8,False
57,symbolic,5,233,1.0,0.55,14,24,False
57,symbolic,5,234,1.0,0.55,28,29,False
57,symbolic,5,235,1.0,0.55,5,6,False
57,symbolic,5,236,1.0,0.55,10,12,False
57,symbolic,5,237,1.0,0.55,14,47,True
57,symbolic,5,238,1.0,0.55,5,6,False
57,symbolic,5,239,1.0,0.55,14,40,True
57,symbolic,5,240,1.0,0.55,28,33,False
58,symbolic,1,1,1.0,0.55,10,20,True
58,symbolic,1,2,1.0,0.55,7,20,True
58,symbolic,1,3,1.0,0.55,7,20,True
58,symbolic,1,4,1.0,0.55,20,28,False
58,symbolic,1,5,1.0,0.55,20,40,True
58,symbolic,1,6,1.0,0.55,14,56,True
58,symbolic,1,7,1.0,0.55,20,21,False
58,symbolic,1,8,1.0,0.55,5,7,False
58,symbolic,1,9,1.0,0.55,7,24,True
58,symbolic,1,10,1.0,0.55,14,47,True
58,symbolic,1,11,1.0,0.55,7,24,True
58,symbolic,1,12,1.0,0.55,28,33,False
58,symbolic,1,13,1.0,0.55,14,40,True
58,symbolic,1,14,1.0,0.55,5,6,False
58,symbolic,1,15,1.0,0.55,5,17,True
58,symbolic,1,16,1.0,0.55,20,67,True
58,symbolic,1,17,1.0,0.55,10,12,False
58,symbolic,1,18,1.0,0.55,10,20,True
58,symbolic,1,19,1.0,0.55,28,33,False
58,symbolic,1,20,1.0,0.55,28,29,False
58,symbolic,1,21,1.0,0.55,14,20,False
58,symbolic,1,22,1.0,0.55,28,94,True
58,symbolic,1,23,1.0,0.55,5,10,False
58,symbolic,1,24,1.0,0.55,10,17,True
58,symbolic,1,25,1.0,0.55,10,20,True
58,symbolic,1,26,1.0,0.55,7,20,True
58,symbolic,1,27,1.0,0.55,7,20,True
58,symbolic,1,28,1.0,0.55,20,28,True
58,symbolic,1,29,1.0,0.55,20,40,True
58,symbolic,1,30,1.0,0.55,14,56,True
58,symbolic,1,31,1.0,0.55,20,21,False
58,symbolic,1,32,1.0,0.55,5,7,False
58,symbolic,1,33,1.0,0.55,7,24,True
58,symbolic,1,34,1.0,0.55,14,47,True
58,symbolic,1,35,1.0,0.55,7,24,True
58,symbolic,1,36,1.0,0.55,28,33,False
58,symbolic,1,37,1.0,0.55,14,40,True
58,symbolic,1,38,1.0,0.55,5,6,False
58,symbolic,1,39,1.0,0.55,5,17,True
58,symbolic,1,40,1.0,0.55,20,67,True
58,symbolic,1,41,1.0,0.55,10,12,False
58,symbolic,1,42,1.0,0.55,10,20,False
58,symbolic,1,43,1.0,0.55,28,33,False
58,symbolic,1,44,1.0,0.55,28,29,False
58,symbolic,1,45,1.0,0.55,14,20,False
58,symbolic,1,46,1.0,0.55,28,94,True
58,symbolic,1,47,1.0,0.55,5,10,False
58,symbolic,1,48,1.0,0.55,10,17,True
58,symbolic,2,49,1.0,0.55,28,47,True
58,symbolic,2,50,1.0,0.55,28,94,True
58,symbolic,2,51,1.0,0.55,7,20,True
58,symbolic,2,52,1.0,0.55,20,22,False
58,symbolic,2,53,1.0,0.55,5,10,True
58,symbolic,2,54,1.0,0.55,7,17,True
58,symbolic,2,55,1.0,0.55,14,33,True
58,symbolic,2,56,1.0,0.55,10,20,True
58,symbolic,2,57,1.0,0.55,28,30,False
58,symbolic,2,58,1.0,0.55,5,6,False
58,symbolic,2,59,1.0,0.55,10,28,True
58,symbolic,2,60,1.0,0.55,14,47,True
58,symbolic,2,61,1.0,0.55,7,17,True
58,symbolic,2,62,1.0,0.55,14,20,True
58,symbolic,2,63,1.0,0.55,5,6,False
58,symbolic,2,64,1.0,0.55,20,57,True
58,symbolic,2,65,1.0,0.55,10,20,True
58,symbolic,2,66,1.0,0.55,14,40,True
58,symbolic,2,67,1.0,0.55,10,40,True
58,symbolic,2,68,1.0,0.55,28,30,False
58,symbolic,2,69,1.0,0.55,20,80,True
58,symbolic,2,70,1.0,0.55,5,17,True
58,symbolic,2,71,1.0,0.55,20,40,True
58,symbolic,2,72,1.0,0.55,7,10,False
58,symbolic,2,73,1.0,0.55,28,47,True
58,symbolic,2,74,1.0,0.55,28,94,True
58,symbolic,2,75,1.0,0.55,7,20,True
58,symbolic,2,76,1.0,0.55,20,22,False
58,symbolic,2,77,1.0,0.55,5,10,False
58,symbolic,2,78,1.0,0.55,7,17,True
58,symbolic,2,79,1.0,0.55,14,33,True
58,symbolic,2,80,1.0,0.55,10,20,True
58,symbolic,2,81,1.0,0.55,28,30,False
58,symbolic,2,82,1.0,0.55,5,6,False
58,symbolic,2,83,1.0,0.55,10,28,True
58,symbolic,2,84,1.0,0.55,14,47,True
58,symbolic,2,85,1.0,0.55,7,17,False
58,symbolic,2,86,1.0,0.55,14,20,False
58,symbolic,2,87,1.0,0.55,5,6,False
58,symbolic,2,88,1.0,0.55,20,57,True
58,symbolic,2,89,1.0,0.55,10,20,True
58,symbolic,2,90,1.0,0.55,14,40,True
58,symbolic,2,91,1.0,0.55,10,40,True
58,symbolic,2,92,1.0,0.55,28,30,False
58,symbolic,2,93,1.0,0.55,20,80,True
58,symbolic,2,94,1.0,0.55,5,17,True
58,symbolic,2,95,1.0,0.55,20,40,True
58,symbolic,2,96,1.0,0.55,7,10,True
58,symbolic,3,97,1.0,0.55,28,40,True
58,symbolic,3,98,1.0,0.55,7,10,True
58,symbolic,3,99,1.0,0.55,5,10,True
58,symbolic,3,100,1.0,0.55,7,8,True
58,symbolic,3,101,1.0,0.55,20,48,True
58,symbolic,3,102,1.0,0.55,10,14,False
58,symbolic,3,103,1.0,0.55,10,24,True
58,symbolic,3,104,1.0,0.55,20,57,True
58,symbolic,3,105,1.0,0.55,7,24,True
58,symbolic,3,106,1.0,0.55,28,56,True
58,symbolic,3,107,1.0,0.55,14,20,False
58,symbolic,3,108,1.0,0.55,10,17,True
58,symbolic,3,109,1.0,0.55,20,57,True
58,symbolic,3,110,1.0,0.55,14,47,True
58,symbolic,3,111,1.0,0.55,10,28,True
58,symbolic,3,112,1.0,0.55,20,28,True
58,symbolic,3,113,1.0,0.55,5,10,True
58,symbolic,3,114,1.0,0.55,28,79,True
58,symbolic,3,115,1.0,0.55,14,47,True
58,symbolic,3,116,1.0,0.55,28,40,True
58,symbolic,3,117,1.0,0.55,5,7,False
58,symbolic,3,118,1.0,0.55,14,17,False
58,symbolic,3,119,1.0,0.55,5,6,False
58,symbolic,3,120,1.0,0.55,7,24,True
58,symbolic,3,121,1.0,0.55,20,24,False
58,symbolic,3,122,1.0,0.55,5,10,True
58,symbolic,3,123,1.0,0.55,7,28,True
58,symbolic,3,124,1.0,0.55,28,94,True
58,symbolic,3,125,1.0,0.55,20,80,True
58,symbolic,3,126,1.0,0.55,10,12,False
58,symbolic,3,127,1.0,0.55,28,33,False
58,symbolic,3,128,1.0,0.55,10,12,False
58,symbolic,3,129,1.0,0.55,28,67,True
58,symbolic,3,130,1.0,0.55,28,47,True
58,symbolic,3,131,1.0,0.55,5,8,False
58,symbolic,3,132,1.0,0.55,10,20,True
58,symbolic,3,133,1.0,0.55,14,17,False
58,symbolic,3,134,1.0,0.55,14,16,False
58,symbolic,3,135,1.0,0.55,14,33,True
58,symbolic,3,136,1.0,0.55,20,28,False
58,symbolic,3,137,1.0,0.55,20,67,True
58,symbolic,3,138,1.0,0.55,10,17,True
58,symbolic,3,139,1.0,0.55,7,9,False
58,symbolic,3,140,1.0,0.55,7,12,True
58,symbolic,3,141,1.0,0.55,5,14,True
58,symbolic,3,142,1.0,0.55,7,24,True
58,symbolic,3,143,1.0,0.55,14,17,False
58,symbolic,3,144,1.0,0.55,5,10,False
58,symbolic,4,145,1.0,0.55,28,33,False
58,symbolic,4,146,1.0,0.55,5,7,False
58,symbolic,4,147,1.0,0.55,14,33,False
58,symbolic,4,148,1.0,0.55,28,56,True
58,symbolic,4,149,1.0,0.55,20,57,True
58,symbolic,4,150,1.0,0.55,28,94,True
58,symbolic,4,151,1.0,0.55,10,17,False
58,symbolic,4,152,1.0,0.55,7,8,False
58,symbolic,4,153,1.0,0.55,20,80,True
58,symbolic,4,154,1.0,0.55,5,7,False
58,symbolic,4,155,1.0,0.55,10,20,True
58,symbolic,4,156,1.0,0.55,7,17,True
58,symbolic,4,157,1.0,0.55,14,24,True
58,symbolic,4,158,1.0,0.55,28,29,False
58,symbolic,4,159,1.0,0.55,7,20,True
58,symbolic,4,160,1.0,0.55,7,8,False
58,symbolic,4,161,1.0,0.55,20,57,True
58,symbolic,4,162,1.0,0.55,14,56,True
58,symbolic,4,163,1.0,0.55,5,12,True
58,symbolic,4,164,1.0,0.55,10,17,True
58,symbolic,4,165,1.0,0.55,5,10,True
58,symbolic,4,166,1.0,0.55,20,67,True
58,symbolic,4,167,1.0,0.55,10,14,False
58,symbolic,4,168,1.0,0.55,14,40,True
58,symbolic,4,169,1.0,0.55,28,33,False
58,symbolic,4,170,1.0,0.55,5,7,False
58,symbolic,4,171,1.0,0.55,14,33,True
58,symbolic,4,172,1.0,0.55,28,56,True
58,symbolic,4,173,1.0,0.55,20,57,True
58,symbolic,4,174,1.0,0.55,28,94,True
58,symbolic,4,175,1.0,0.55,10,17,False
58,symbolic,4,176,1.0,0.55,7,8,False
58,symbolic,4,177,1.0,0.55,20,80,True
58,symbolic,4,178,1.0,0.55,5,7,False
58,symbolic,4,179,1.0,0.55,10,20,True
58,symbolic,4,180,1.0,0.55,7,17,True
58,symbolic,4,181,1.0,0.55,14,24,True
58,symbolic,4,182,1.0,0.55,28,29,False
58,symbolic,4,183,1.0,0.55,7,20,True
58,symbolic,4,184,1.0,0.55,7,8,False
58,symbolic,4,185,1.0,0.55,20,57,True
58,symbolic,4,186,1.0,0.55,14,56,True
58,symbolic,4,187,1.0,0.55,5,12,False
58,symbolic,4,188,1.0,0.55,10,17,True
58,symbolic,4,189,1.0,0.55,5,10,True
58,symbolic,4,190,1.0,0.55,20,67,True
58,symbolic,4,191,1.0,0.55,10,14,False
58,symbolic,4,192,1.0,0.55,14,40,True
58,symbolic,5,193,1.0,0.55,28,56,True
58,symbolic,5,194,1.0,0.55,5,7,False
58,symbolic,5,195,1.0,0.55,10,17,True
58,symbolic,5,196,1.0,0.55,20,40,True
58,symbolic,5,197,1.0,0.55,28,33,False
58,symbolic,5,198,1.0,0.55,7,14,True
58,symbolic,5,199,1.0,0.55,7,8,False
58,symbolic,5,200,1.0,0.55,14,24,True
58,symbolic,5,201,1.0,0.55,14,20,True
58,symbolic,5,202,1.0,0.55,28,47,True
58,symbolic,5,203,1.0,0.55,10,34,True
58,symbolic,5,204,1.0,0.55,10,34,True
58,symbolic,5,205,1.0,0.55,14,20,True
58,symbolic,5,206,1.0,0.55,20,22,False
58,symbolic,5,207,1.0,0.55,20,40,True
58,symbolic,5,208,1.0,0.55,20,57,True
58,symbolic,5,209,1.0,0.55,28,47,True
58,symbolic,5,210,1.0,0.55,5,12,True
58,symbolic,5,211,1.0,0.55,7,8,False
58,symbolic,5,212,1.0,0.55,10,34,True
58,symbolic,5,213,1.0,0.55,7,17,True
58,symbolic,5,214,1.0,0.55,5,8,False
58,symbolic,5,215,1.0,0.55,14,20,True
58,symbolic,5,216,1.0,0.55,5,14,True
58,symbolic,5,217,1.0,0.55,28,56,True
58,symbolic,5,218,1.0,0.55,5,7,False
58,symbolic,5,219,1.0,0.55,10,17,True
58,symbolic,5,220,1.0,0.55,20,40,True
58,symbolic,5,221,1.0,0.55,28,33,False
58,symbolic,5,222,1.0,0.55,7,14,True
58,symbolic,5,223,1.0,0.55,7,8,False
58,symbolic,5,224,1.0,0.55,14,24,True
58,symbolic,5,225,1.0,0.55,14,20,True
58,symbolic,5,226,1.0,0.55,28,47,True
58,symbolic,5,227,1.0,0.55,10,34,True
58,symbolic,5,228,1.0,0.55,10,34,True
58,symbolic,5,229,1.0,0.55,14,20,False
58,symbolic,5,230,1.0,0.55,20,22,False
58,symbolic,5,231,1.0,0.55,20,40,True
58,symbolic,5,232,1.0,0.55,20,57,True
58,symbolic,5,233,1.0,0.55,28,47,True
58,symbolic,5,234,1.0,0.55,5,12,False
58,symbolic,5,235,1.0,0.55,7,8,False
58,symbolic,5,236,1.0,0.55,10,34,True
58,symbolic,5,237,1.0,0.55,7,17,True
58,symbolic,5,238,1.0,0.55,5,8,False
58,symbolic,5,239,1.0,0.55,14,20,True
58,symbolic,5,240,1.0,0.55,5,14,True
59,symbolic,1,1,1.0,0.55,28,47,True
59,symbolic,1,2,1.0,0.55,10,40,True
59,symbolic,1,3,1.0,0.55,28,112,True
59,symbolic,1,4,1.0,0.55,7,17,True
59,symbolic,1,5,1.0,0.55,14,56,True
59,symbolic,1,6,1.0,0.55,5,6,False
59,symbolic,1,7,1.0,0.55,10,17,False
59,symbolic,1,8,1.0,0.55,5,12,False
59,symbolic,1,9,1.0,0.55,20,67,True
59,symbolic,1,10,1.0,0.55,14,20,False
59,symbolic,1,11,1.0,0.55,20,67,True
59,symbolic,1,12,1.0,0.55,10,24,False
59,symbolic,1,13,1.0,0.55,10,14,False
59,symbolic,1,14,1.0,0.55,14,20,False
59,symbolic,1,15,1.0,0.55,28,112,True
59,symbolic,1,16,1.0,0.55,28,79,True
59,symbolic,1,17,1.0,0.55,7,20,False
59,symbolic,1,18,1.0,0.55,20,80,True
59,symbolic,1,19,1.0,0.55,5,20,False
59,symbolic,1,20,1.0,0.55,7,20,False
59,symbolic,1,21,1.0,0.55,5,7,False
59,symbolic,1,22,1.0,0.55,20,28,False
59,symbolic,1,23,1.0,0.55,7,9,False
59,symbolic,1,24,1.0,0.55,14,56,False
59,symbolic,1,25,1.0,0.55,5,6,
59,symbolic,1,26,1.0,0.55,14,24,False
59,symbolic,1,27,1.0,0.55,20,57,False
59,symbolic,1,28,1.0,0.55,28,112,False
59,symbolic,1,29,1.0,0.55,14,24,False
59,symbolic,1,30,1.0,0.55,10,14,False
59,symbolic,1,31,1.0,0.55,14,24,False
59,symbolic,1,32,1.0,0.55,7,17,False
59,symbolic,1,33,1.0,0.55,7,8,False
59,symbolic,1,34,1.0,0.55,5,10,False
59,symbolic,1,35,1.0,0.55,20,21,False
59,symbolic,1,36,1.0,0.55,10,40,False
59,symbolic,1,37,1.0,0.55,5,8,False
59,symbolic,1,38,1.0,0.55,10,24,False
59,symbolic,1,39,1.0,0.55,7,17,False
59,symbolic,1,40,1.0,0.55,14,56,False
59,symbolic,1,41,1.0,0.55,20,34,False
59,symbolic,1,42,1.0,0.55,7,17,False
59,symbolic,1,43,1.0,0.55,28,30,False
59,symbolic,1,44,1.0,0.55,10,34,False
59,symbolic,1,45,1.0,0.55,5,17,False
59,symbolic,1,46,1.0,0.55,28,33,False
59,symbolic,1,47,1.0,0.55,28,47,False
59,symbolic,1,48,1.0,0.55,20,24,False
59,symbolic,2,49,1.0,0.55,5,17,False
59,symbolic,2,50,1.0,0.55,14,17,False
59,symbolic,2,51,1.0,0.55,7,14,False
59,symbolic,2,52,1.0,0.55,10,17,False
59,symbolic,2,53,1.0,0.55,10,12,False
59,symbolic,2,54,1.0,0.55,14,20,False
59,symbolic,2,55,1.0,0.55,7,24,False
59,symbolic,2,56,1.0,0.55,28,112,False
59,symbolic,2,57,1.0,0.55,28,94,False
59,symbolic,2,58,1.0,0.55,7,28,False
59,symbolic,2,59,1.0,0.55,20,28,False
59,symbolic,2,60,1.0,0.55,5,12,False
59,symbolic,2,61,1.0,0.55,5,20,False
59,symbolic,2,62,1.0,0.55,20,40,False
59,symbolic,2,63,1.0,0.55,14,33,False
59,symbolic,2,64,1.0,0.55,20,48,False
59,symbolic,2,65,1.0,0.55,5,17,False
59,symbolic,2,66,1.0,0.55,10,12,False
59,symbolic,2,67,1.0,0.55,28,56,False
59,symbolic,2,68,1.0,0.55,10,14,False
59,symbolic,2,69,1.0,0.55,20,67,False
59,symbolic,2,70,1.0,0.55,7,10,False
59,symbolic,2,71,1.0,0.55,14,56,False
59,symbolic,2,72,1.0,0.55,28,40,False
59,symbolic,2,73,1.0,0.55,14,20,False
59,symbolic,2,74,1.0,0.55,7,10,False
